merchant_name,nooftransactions
AE AVENIDA PAU BRASIL,8
DROGASIL,8
Laluci,8
AV GETULIO VARGAS,8
SAINSBURYS HITHER GREE,8
MERCADINHO VITORIA,8
DROGARIA ARAUJO MATRIZ,8
LIDL VIC - LA GUIXA,8
ZICOLINO PIZZARIA E RE,8
Uphold,8
VILLA SAN MARTINHO PAE,8
PRATIC L DE C LTDA,8
AVENIDA CALAMA,8
VanildaBatista,8
DELLA MARIS PAES DOCES,8
RUA BERNARDINO DE CAMP,8
EMPORIO CONDOMINIO,8
SUPERMERCADO ALEGRIA,8
SAM S CLUB-RADIAL 4918,8
CNS COMBUSTIVEIS E DER,8
POINT DO PAO,8
E.S. LA MATA,8
GNVGAS DO BRASIL,8
DROGASIL 1739,8
AMZN Digital,7
ANDRA EMBALAGENS,7
LIDL CY 107-MEDOUSIS,7
NISA LOCAL,7
UnhasdaRah,7
Ame dig*AME Digital,7
TESCO STORE 3120,7
SUMUP  *NATALIAFERREIR,7
IMAGINARIUM RIO BRAN,7
SALE PEPE RESTAURANTE,7
SUMUP  *HORTIFRUTAPOPU,7
EC*NOVAOPCAOLTDA,7
CARNICERIA COVADONGA,7
PG          *JamesDeli,7
PAYPAL      *0CODE,7
THE GLASSHOUSE CAFE,7
J. SAINSBURY,7
3 IRMAOS,7
BISCOITOS TIA NINA,7
RAPPI*PRIME BRASIL INT,7
10070024,7
MEGA PRICE,7
CARTAO DE TO*CTN,7
EXTRA SUPER LJ 1635,7
MARKS SPENCER PLC,7
IZ *Jasama Limited,7
BOWLING NEXT LEVEL,7
PANIFICADORA REDENCAO,7
STRADIVARIUS,7
PayU*Allegro,7
PAY*LIDL BENALMADENA,7
RSI INTERNATIONAL,7
ARTIMA SA,7
SALGADOS JERRY CIA,7
ECOMMERCE FA,7
PAO DE ACUCA,7
CO-OP GROUP FOOD,7
BAR LESPERANCA,7
EMPORIO BRASIL,7
MERCADONA AVDA ALICANTE,7
ZORBAS MAKARIOU,7
SUPERMERCADO DIA,7
LIDL GB  LONDON,7
NYE KEISER AS,7
MCO,7
INDUSTRIACOMERCIO,7
MIX BAR EIRELI,7
DL*GOOGLEYouTube,7
SHALFORD VILLAGE STORE,7
P. MASRAMON,7
UNIDASUL FL 46,6
ARGEMIRO CAETANO DE OL,6
BOM DIA SUPERMERCADO,6
MERCPAGO    *EMERSONC,6
Google YouTube Videos,6
JoseManoel,6
RODOSNACK MAIRIPORA,6
LA PIZZA EXPRESS,6
MERCADO HOJE,6
AUTO POSTO DIPLOMATA I,6
VILLE SUPERMERCADOS,6
VIRTUS COM DE ALIMENTO,6
NiltonJuniorVitor,6
RODOVIA AUGUSTO MONTEN,6
FRANGO ASSADO POSTO CA,6
LIDL BATALHA,6
NEWTON SYSTEMS LTD,6
SUPERMERC MULTMARKET,6
iti    *verif.cartao,6
LAUREL BCN SCP,6
VELOZ GAS,6
PBL - POSTO BAIRRO LIM,6
LOJA PAVANI,6
AUTO POSTO SAO PAULO,6
ErimarDaCostaLima,6
ALBERT VAM DEKUJE,6
AguiaTemperosAbcL,6
ESTRADA PAU-FERRO,6
LOJAS IPLACE,6
DISCAMP VALINHOS,6
PETROPRIX BENALMADENA,6
PREMIER MEDIA BROADCAS,6
S S OLIVEIRA GUIMARAES,6
MERCADO FAVORITO,6
BENDITO EMPORIO,6
JC ESTACIONAMENTO,6
DROGARIA RETIRO,6
S O S GAS,6
PIMENTA VERDE COSMETIC,6
Bittrex INT,6
RHEIDNER MORAES TOSTA,6
VIRGIN MONEY GIVING,6
GRANITO,6
TAVERNA D EN SIDORO SLU,6
STORY BLOCKS*VIDEO,6
GO PLC ONLINE PAYMENT,6
COBASI BARRA CARREFOUR,6
KORIN MOEMA,6
QUADRA VINTE (PANORAMA,6
RAIA 130,6
CHINA IN BOX,6
EMPORIO PRIME,6
HNA*OBOTICARIO,6
Hbconsultoria,6
MIRADOR RESTAURANTE E,6
SUPER SOL,6
MERCADO MASTER ECONOMI,6
CLINP CLIN,6
PADARIA POMPEIA,6
GOTICA PAES E DOCES,6
MERCPAGO    *NINEPERF,6
RICHARD MARQUES GOMES,6
SUPERCOR TORREQUEBRADA,6
ESPACO MEDICO DE AMOR,6
LEROY MERLIN ESPANA SL,6
PAO DE ACUCAR,6
CEPSA 33130-1 E.S. COMERC,6
ASSAI  ATACADISTA,6
AUTO POSTO BIDU IV,6
GABRIELA SCHEFFER DA S,6
RenatoRodriguesDa,6
PostoFazgran,6
SUMUP  *CANTINAFITNESS,6
AMAZON.DE AMAZON.DE,6
LA CROISSANTERIA,6
AGROAMAIS,6
PadariaE,6
EXTRA PALMAS,6
SPL*RUSTY BY DESIGN AU,6
ESTRADA ITAPICURU,6
TfL Travel Charge,6
JOAOSANTIAGODEAND,6
EXTRA BARRA TIJUCA,6
TemperArt,6
MERCADONA LA ESPRILLA,6
6UPECO ALHAURIN,6
ZARELI SUPERMERCADOS,6
TRUFAS,6
"STACKPATH, LLC",6
CARREFOUR EXPRESS-DAVI,6
RERS MAT COSTRUCAO,6
4 AVENIDA,6
MarcosJuniorMuniz,6
PG          *JAMESDELI,6
SABOR TROPICAL,6
PRACA DOUTOR WALDIR DA,6
PIT STOP EIRELI,6
ifood       *IFOODMPAY,6
CALI MOVE,6
MERCADO NOGUEIRA,6
AUTO POSTO E LANCHONET,6
A LISBOETA PAD E CONFE,6
EPC*FORTNITE,6
PANIF. SILMAR,6
PARAISO DAS FRUTAS,6
IZ *COFX,6
PET SHOP,6
MC DONALDS DRP,6
ARMAZEM URBANO,6
VIKUS VIC,6
SFO COMBUSTIVEIS,6
PICPAY *FU4 PAULOBRAG,6
SUPERCENTER D PEDRO 87,6
SOTOHEALTH,6
UberBR UBER *TRIP HELP,6
DUBOM SUPERMERCADOS,6
PREMIER INN45521675,6
ADRIANO GONCALVES LEMO,6
JOSE RUBEN DE SOUZA EI,6
MEUPAT,6
DONA TEREZINHA ALIMENT,6
JB REFEICOES 2,6
FARMACIAS PAGUE MENOS,6
PEROLA DO BUTANTA,6
GAS POSITIVO - AUTO PO,6
SUPERMAGO,6
VERDE MAR LOJA II,6
AVENIDA BARAO DE MELGA,6
RUA JAVARI,6
DROGASIL 1919,6
ATAKAREJO-FILIAL PIATA,6
VITRINE DO PAO,6
REG IMOVEIS SP,6
PAGAR M     *JAMESDELI,6
EstudioMarianaBor,6
GRAAL OLIVEIRA,6
FLOR DO MORUMBI LANCHO,6
GRILL HOUSE,6
ECOCONVENIENCIA COM AL,6
EBANX*AIRBNB,6
MERCALE,6
PICPAY *MC8 DANILOVIA,6
HORTIFRUTI,6
KOPENHAGEN,6
PUB GETULIO,6
APPLE.COM/UK,6
DOCE BALANCO,6
VALE SORTE,6
CARREFOUR ECP,6
DICKENSONS OF FULHAM,6
TL MORAES,6
MC DONALDS JOV,6
frutosdegoiascotr,6
UBR* PENDING.UBER.COM,6
NACIONAL 135,6
AUGUSTO OSIRO,6
CLINIVET,6
AC NOVO HAMBURGO,6
RUA CAIRU,6
MADERO JOINVELLE,6
MERCPAGO    *BARBEARI,6
CAMPOS DE MORAIS COMBU,6
LA CAIXA    035,6
FERNANDO ANTEBAS E SER,6
ANDREIA CRISTINA DE PA,6
POSTO ACESSO OESTE GNV,6
VAGABOND,6
PICPAY      *GG7 JOAOM,6
OCEAN SPA PLAZA LTD,6
DROGASIL 2303,6
LIPP'S BARRA LIFE,6
PASTELARIA LAPA,6
DROGARIA SAO PAULO,6
RIOOPEN,6
AGROPECUARIA ARC,6
LIDL BENALMADENA,6
LEITERIA NEVADA LTDA,6
JESSE JAMES ASSIS,6
AlissonAdriano,6
DOMANI,6
EAT LTD,6
THE BLUE CAFE,6
VDRS LTDA ME,6
BLUE SUPORTE ADMINISTR,6
FARMACIAS SAO JOAO NOV,6
MERCADONA,6
HORTIFRUTI BARRA AMOED,6
ATACADAO CURIO,6
ROD MARIO COVAS,6
AV. DAS AMERICAS,6
DIRK VAN DEN BROEK 3173,6
SUPERMERCADO STALO,5
EC*ELOJOB,5
ING WATERLOO PAR,5
ODETTE FARMA,5
GRUPO AHORRAMAS 1434,5
SUPERALVO SUPERMERCADO,5
HD TARAJAL,5
WWW.PAPPACICCIA.COM,5
AME DIGITAL*AME Digita,5
GOOGLE *Google Play Ap,5
STACKPATH  LLC,5
LE CHOUCAS REST,5
THE RETREAT PALM M GAL,5
COOK CHEAM,5
PAYPAL*Paypal,5
Crypto-ML LLC,5
VALLEJU RIO CONFEC COM,5
M and M Direct Ltd,5
Google Storage,5
NHAC TEMAKI,5
LE ROND POINT D,5
ZORBAS TIMAYIA,5
QUEST SANTANA,5
CRV*Card verification,5
MCDONALD'S,5
AUTO P SAO CRISTOVAO,5
SAINSBURYS LOC4364,5
RAQUEL BARROSO MOTA,5
KOKORO,5
00493337,5
Comercialpinheiro,5
MARKS SPENCER PLC SACA,5
PG*ClubedeAss,5
RECARGAPAY NU PAGAMENT,5
POSTO E GARAGEM RAJA D,5
CASA LIMPA,5
MARCIO VIRGILIO DE SOU,5
MBI-PROBILLER.COM,5
00610220,5
EXTRA 1372,5
TAILWIND,5
WWW.WISH.COM,5
WILKO RETAIL LIMITED,5
MERCADONA ARCHIDUQUE L,5
ESTRADA KIZAEMON TAKEU,5
Revolut**8627*,5
JulipanPaesBolos,5
REDE OBA THE MALL,5
SUPER MUFFATO,5
NOU PAMPLONA,5
HABIB S,5
MERCPAGO    *CACADOS,5
EURO AUTOMATIC,5
HSBC BANK MALTA,5
STARBUCKS,5
PAYPAL *TELEGRAPHME,5
MONETIZZE*98458,5
IZ *FOUND HOPE LIMITED,5
ESPORTIU ROCAFORT,5
PAGAR M*ClubedeAss,5
PICPAY *DB3 RECARGACE,5
TFL TRAVEL CH,5
EL.GI.MA. PERIPTERO,5
FARMACIA TORREMARINA,5
FULHAM PHARMACY,5
COOP 13 CARIJOS,5
N REZENDE ZEOLLA,5
EBANX*SONYPLAYSTATN,5
"SQ *SQUARE, INC.",5
SUMUP  *QUEZIADAMAZIOD,5
21032560,5
MAJESTIC WINE,5
PRAKTIKER_ELLINIKO,5
ZONA SUL,5
MINIMERCAT BON PREU S525V,5
POUNDLAND LTD,5
CASA 32,5
ONE4ONE,5
BOCANA,5
PG          *ESSENTIAL,5
WILSON JOSE SANTANA JU,5
PUSSIT.NET,5
IDSJMK.CZ,5
RESTAURANTE SUSHI JK L,5
MERCPAGO*RECARGATIM,5
AMAZON.COM AMZN.COM/BI,5
VIVO CONTROL,5
MERCADO BENTO,5
PAGOTARIA VANILIA SOKOLA,5
CONF BELLA BARRA,5
MERCADO REAL,5
SAINSBURY'S,5
OVERSEAS SOTOGRANDE,5
RECARGA*PAGSEGURO I,5
PAYPAL *LUDWIGVONKA,5
ESPETINHO DO MESTRE,5
PICPAY *NV4 PGTOCONTA,5
AutoPostoChacara,5
CBC BANQUE WATER,5
S J SUPERMERCADOS 06,4
FET LTDA,4
PICPAY *UU5 RECARGACE,4
ARGOS LTD,4
KALUNGA RADIAL,4
UNIDASUL FL 32,4
BANCA DE FRUTAS GRATID,4
AV. FRANCISCO MATARAZZ,4
ROGERIO ARAUJO CUNHA,4
SUPERPRIX LOJA 16,4
TEKINHO AGUA E GAS,4
todos       *CTN,4
UDIFRIOS DISTRIBUIDORA,4
NiltonOvos,4
MOTEL VENEZA,4
CONJUNTO URBIS II,4
CCR METRO BAHIA,4
ITAKY  ACAI,4
MUNDO ANIMAL,4
TOTEM KINOPLEX D PEDRO,4
CLADIA DO AMOR D. MORE,4
PIZZARIA BELLA & PAULI,4
HUTTI PANIFICADORA,4
A LISBOETA PADARIA E C,4
DANILO ALVES BERNARDES,4
BRAZ E SAMPAIO SERVICO,4
SMART REVISTARIA PICAR,4
MC DONALDS  AGT,4
KING S KAO LANCHES LTD,4
PONTO MIX,4
IVI BARCELONA,4
GOHAN SUSHI TRUCK,4
COMERCIAL REDE TAVARES,4
RUA REFINARIA DUQUE DE,4
AUTO POSTO EXPRESSA DE,4
POSTO ALFA,4
PAYPAL *BOOKING.COM,4
BANKINTER,4
RUA JUSCELINO KUBITSCH,4
C E F PRAZERES,4
AUTO POSTO SENNA,4
MERCADO OLIVEIRA,4
MERCPAGO    *AHHARDWA,4
DISTRIBUIDORA CAMPO BE,4
SABOR COMPLETO REST  D,4
BANCO SANTANDER,4
AUTO POSTO JC,4
OliviaDailiMoraes,4
DISQUE CERVEJA RESSACA,4
MERCADINHO MENDES FALC,4
BELLO PANE,4
EC*SNBARRETTO2,4
MERCADONA AVDA FERROCARRI,4
Blizzard Entertainment,4
CP JD PROENCA 1,4
PRIME MANCHESTER,4
iti   *Luiz Rogerio,4
AV. OCTAVIO MANGABEIRA,4
CEMAC SERVICOS E HOSPE,4
PAYPAL *PRODIRECT,4
DELIVERY KING S COM DE,4
PizzariaBella,4
JERRY LI LANCHES,4
ESPETINHO DAGOSTO,4
EXTRABOM SUPERMERCADOS,4
HOTEL LUCYS MANSION,4
HORTIFRUTI AVENIDA,4
PICPAY *PZ5 PGTOCONTA,4
EST-JK IGUATEMI,4
EROSKI ELCHE,4
EDNA DA SILVA CORREA C,4
DELUXE BAKERY,4
ARMAZEM 845,4
SUSHI MONTEIRO E FERRE,4
BAR DO ROBSON,4
COBASI IMIGRANTES,4
REDE JK,4
HORTFRUT PARANA,4
RUA GAL RONDON,4
LAZBATH LIMITED,4
C.MINEIRAO 66 MLS - LA,4
AUTO POSTO ATLANTA,4
RaimundoBarretoDa,4
DANCASE,4
PIISPANSILTA 11,4
LATAM AIRLIN,4
CORACAO DE MARIA COM D,4
MULT PAO PADARIA E CON,4
PAYPAL *MICROSOFT XBOX,4
GODINES GRILL,4
DIA BRASIL LJ 1104,4
SUPERMERCADO CAIQUE 4,4
AUTO POSTO CURITIBANO,4
MERCPAGO*PGTODECONTAS,4
ZEBU CARNES SUPERMER,4
AngelitaSantos,4
SUPERMERCADO FAE,4
ExercitoDeSalvaca,4
SUPERMERCADO JD AMALIA,4
ELAINE GRACIELY PADILH,4
LucineliaRodrigue,4
PAES E DOCES FOCH II,4
POSTO 5162-VL DOS REME,4
BARON CAR HIRE   CAB,4
PICANHAS GRILL RESTAUR,4
Lepicerie at 56 Ltd,4
BARBEARIA DO VAVA,4
0390-CONSUM,4
MERCPAGO    *AZSARTES,4
SUPERMERCADO GRICKI,4
"QNO 06 CONJUNTO B, LOT",4
SaborDoQueijo,4
"MACRESPORT, S.L",4
CONSULADO DA RACAO,4
MERCPAGO*RECARGACEL,4
PLAGIUM,4
AUTO POSTO CHIMINAZZO,4
WWW.CURZONHOMECINEMA.C,4
PELLEGRINI CAFE BAR,4
HM.COM,4
PONTO DA ESFIHA,4
pratesadv,4
SUPER JAPA,4
E FOOD GR,4
MINI MERCADO PARIPIRAN,4
DrCarvalho,4
PANIF PANICIELLO,4
+ Brasil Vila Alda,4
RAF 868 LANCHONETE EIR,4
HOTEL GERANIUM,4
EL GALEON DEL CENTOLLO,4
GRANDE PARADA NORTE,4
BOMPRECO B009 CAXANGA,4
CARRAO,4
GAILS - PARSONS GREEN,4
SUPERMERCADO PANELAO,4
SUBMARINO MKTPLACE,4
JP BICICLETARIA,4
ThiagoFernandesDe,4
RECARGAPAY TIM,4
Abastec (Gramado),4
ZOOP BRASIL*CHALE DAS,4
M2A ALIMENTOS E UTILID,4
LOUCAS MAQUIAGEM DC,4
LUCAS BURGUER,4
AV COMEND FRANCISCO AV,4
Josedoroteudasilv,4
FARMAMED DROGARIA LTDA,4
K E N LANCHES,4
FARMACIA DOS REMEDIOS,4
Tidal Music,4
STA LUZIA MATRIZ VAC,4
POSTO VILA DE CAXIAS,4
ZP          *IFOOD,4
RUA CAPITAO PACHECO E,4
TESCO PFS 2181,4
JUNIOR AUTOMOTIVOS,4
MERCPAGO    *BEMDITAB,4
RUA MINISTRO CALOGERAS,4
FELIX FUMERO S.L.,4
DOCE SONHA PADARIA E C,4
Kaufland CZ 6100,4
SACCARIA,4
O MUNDO ANIMAL,4
AERO FRUTAS,4
TAKASHI SUSHI BOX..,4
SUPERMERCADO INFANGER,4
RUA SILVA BUENO,4
SRI STORE,4
POSTO GIRO,4
LEROY RIO PRETO,4
